,names,ratings,cost,dish,deliveryin_min,order
187,Raichur Biryani House,3.9,₹150 for one,"North Indian, Biryani, Mughlai, Chinese, Rolls",16 min,1600+ orders placed from here recently
188,MISU,3.9,₹150 for one,"Asian, Japanese, Thai",60 min,475+ orders placed from here recently
189,Sorbetto,4.3,₹150 for one,"Ice Cream, Desserts, Shake, Pancake, Beverages",43 min,700+ orders placed from here recently
190,32 Degree,4.2,₹150 for one,"Beverages, Juices, Sandwich",38 min,6925+ orders placed from here recently
191,Ghar Da Swaad,3.7,₹150 for one,"North Indian, Chinese",37 min,1625+ orders placed from here recently
192,Curries & Pickles,3.5,₹150 for one,"Andhra, Biryani, Chinese, North Indian, South Indian",45 min,1325+ orders placed from here recently
193,Maedah,3.4,₹150 for one,"North Indian, Chinese, Arabian, Mughlai, Kebab, Beverages, Desserts",44 min,1975+ orders placed from here recently
194,Dhansagar Restaurant,4.0,₹150 for one,"North Indian, Mughlai, Chinese, Biryani, Seafood, Shake, Sichuan",32 min,1300+ orders placed from here recently
195,Prem's Biriyani,3.5,₹100 for one,"Biryani, Fast Food, North Indian",42 min,450+ orders placed from here recently
196,Sri Aakash Punjabi Dhaba,4.1,₹100 for one,"North Indian, Chinese, Biryani, Mughlai",33 min,1925+ orders placed from here recently
197,Vaigai Vilas,3.3,₹100 for one,"Fast Food, Street Food, Chinese, South Indian, Biryani, Beverages",37 min,725+ orders placed from here recently
198,Momo's Man & More,3.9,₹100 for one,"Momos, Rolls",29 min,900+ orders placed from here recently
199,Andhra Meals Menu,3.9,₹250 for one,Andhra,29 min,1775+ orders placed from here recently
200,Green Cravings,3.9,₹250 for one,"Healthy Food, Continental",21 min,175+ orders placed from here recently
201,Kabab Magic Roll,3.6,₹250 for one,"Chinese, Fast Food, Rolls, BBQ",40 min,1125+ orders placed from here recently
202,Tandoor Merchant,3.9,₹250 for one,"North Indian, Chinese, Fast Food, Hyderabadi, Andhra",34 min,800+ orders placed from here recently
203,Mahesh Lunch Home,3.9,₹300 for one,"Seafood, Mangalorean, South Indian, North Indian, Continental, Desserts, Beverages",52 min,2000+ orders placed from here recently
204,Andhra Kitchen,4.1,₹300 for one,"Andhra, Biryani",27 min,1225+ orders placed from here recently
205,The Rush Restaurant,3.9,₹300 for one,"North Indian, Mughlai, Biryani, Chinese, Fast Food, Beverages",27 min,625+ orders placed from here recently
206,Hungry Chang,3.5,₹300 for one,"Chinese, Fast Food, Sichuan",24 min,75+ orders placed from here recently
207,Hao Chi,3.6,₹250 for one,"Vietnamese, Chinese, Sichuan",42 min,175+ orders placed from here recently
208,South Magic,4.0,₹250 for one,South Indian,39 min,875+ orders placed from here recently
209,Bob's Bar,4.1,₹250 for one,"South Indian, Finger Food, Desserts, Beverages",42 min,1525+ orders placed from here recently
210,Basil Pizzeria,3.8,₹250 for one,"Pizza, Desserts, Beverages",27 min,325+ orders placed from here recently
211,Luckhnow Street,4.0,₹200 for one,"Awadhi, Kebab, Biryani",38 min,1775+ orders placed from here recently
212,Sardarji's Kitchen,4.0,₹200 for one,"North Indian, Rolls, Street Food",38 min,350+ orders placed from here recently
213,The Betel Leaf Co - Originally from Bangalore,4.3,₹200 for one,Paan,33 min,600+ orders placed from here recently
214,The Lassi Corner,3.6,₹200 for one,"Beverages, Sandwich, Fast Food, Street Food, Ice Cream, Desserts",27 min,75+ orders placed from here recently
215,Bangarpet Chats,4.2,₹100 for one,Street Food,36 min,1050+ orders placed from here recently
216,Malnad Donne Biriyani - MDB,4.1,₹100 for one,"South Indian, Biryani",35 min,900+ orders placed from here recently
217,Uttara Karnatakada Jolada Rotti Angadi,4.3,₹100 for one,South Indian,35 min,825+ orders placed from here recently
218,Ganesh Hotel,4.1,₹100 for one,South Indian,32 min,325+ orders placed from here recently
219,Momo Rice Noodles,4.1,₹200 for one,"Momos, Chinese, Thai, Sichuan",39 min,775+ orders placed from here recently
220,Udupi Upahar,4.0,₹200 for one,"South Indian, North Indian, Chinese, Fast Food, Desserts, Beverages, Biryani, Shake",26 min,1625+ orders placed from here recently
221,Fabelle Chocolates,3.5,₹200 for one,"Desserts, Bakery",24 min,75+ orders placed from here recently
222,Lungees Foods,3.8,₹200 for one,"Kerala, Biryani, South Indian",36 min,2375+ orders placed from here recently
223,Abees Mess,3.9,₹150 for one,"South Indian, Chinese",37 min,1000+ orders placed from here recently
224,Asian Momo Company,4.0,₹150 for one,"Momos, Chinese, Asian, Thai",40 min,3450+ orders placed from here recently
225,Just Bake - Cakes & Confectioners,3.3,₹150 for one,"Bakery, Desserts",33 min,250+ orders placed from here recently
226,Sai Jagannath Food And Chats Point,4.0,₹150 for one,"North Indian, Street Food, Chinese, South Indian",38 min,1575+ orders placed from here recently
227,Qissa,3.9,₹300 for one,"Arabian, Lebanese, Turkish, Middle Eastern, Rolls, Beverages, Desserts",60 min,1825+ orders placed from here recently
228,Hoskote Donne Biryani,3.7,₹300 for one,"Biryani, South Indian",30 min,1200+ orders placed from here recently
229,Saiko Sushi House,3.6,₹300 for one,"Sushi, Japanese",41 min,150+ orders placed from here recently
230,Sri Udupi Sagar,4.1,₹300 for one,"South Indian, Chinese",27 min,3175+ orders placed from here recently
231,Swathi Restaurant,4.3,₹150 for one,"Mangalorean, North Indian, Chinese",44 min,450+ orders placed from here recently
232,Say Cheese Cake,4.1,₹150 for one,"Bakery, Desserts, Shake",32 min,900+ orders placed from here recently
233,Chocolate Bitter,3.4,₹150 for one,"Shake, Bakery",44 min,775+ orders placed from here recently
234,Champaran Meat House,3.7,₹150 for one,"North Indian, Bihari",27 min,2100+ orders placed from here recently
235,Artinci - Indulge Guilt Free!,3.9,₹150 for one,"Desserts, Ice Cream, Bakery",22 min,100+ orders placed from here recently
236,Mega Biryani,4.3,₹150 for one,Biryani,33 min,75+ orders placed from here recently
237,Mizo Kitchen,4.1,₹150 for one,"North Eastern, Chinese",35 min,1275+ orders placed from here recently
238,Reddy's Restaurant,3.6,₹150 for one,"North Indian, Chinese, Mughlai, Andhra, Biryani",32 min,1250+ orders placed from here recently
