,title,subtitles,links
58,PORT OF CALL,How Porto could be lining up in Europe had they not sold £367m worth of talent,https://www.thesun.co.uk/sport/21708745/porto-inter-milan-champions-league-transfers-fees/
59,LIONS IN WAIT,How Man Utd could look like England as Harry Kane leads potential signings,https://www.thesun.co.uk/sport/21633552/man-utd-line-up-harry-kane-england/
60,FIRST BELL,Real Madrid make first move for Jude Bellingham with mega £123MILLION offer,https://www.thesun.co.uk/sport/21702785/real-madrid-first-transfer-bid-jude-bellingham-dortmund/
61,GO GET DEM,Dembele's release clause revealed with Prem clubs able to land star for bargain,https://www.thesun.co.uk/sport/21699226/ousmane-dembele-release-clause-premier-league-barcelona/
62,TOP PICK,Spurs to launch cut-price Pickford bid as keeper has hidden clause in Everton deal,https://www.thesun.co.uk/sport/football/21680031/tottenham-transfer-jordan-pickford-england-everton/
63,MAN UTD LIVE,"United eye Vlahovic if Kane ploy fails, Real Madrid's £125m Bellingham offer",https://www.thesun.co.uk/sport/21564391/man-utd-news-live-vlahovic-kane-bellingham-real-madrid-casemiro/
64,GUNNERS LATEST,"Xhaka contract EXCLUSIVE, Camavinga labelled as 'untouchable'",https://www.thesun.co.uk/sport/21454224/arsenal-news-live-xhaka-exclusive-camavinga-arteta-edu-summer-transfer/
65,COMP,"Win a VW Campervan plus £1,000 or £40k cash from 89p with our discount code",https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-competition-7dp/
66,SWEET JUSTICE,Sommer keeps promise of trucking in 700KG of chocs but donates it to charity,https://www.thesun.co.uk/sport/21712977/yann-sommer-bayern-munich-chocolate-charity/
67,KVARAT GOLD,Watch Kvaratskhelia score Maradona-esque goal as he embarrasses Atalanta,https://www.thesun.co.uk/sport/21682992/kvaratskhelia-goal-atalanta-napoli/
68,'WICH HUNT,Norwich star Max Aarons slammed by fans for 'worst dive EVER' against Sunderland,https://www.thesun.co.uk/sport/21690359/norwich-max-aarons-dive-sunderland/
69,FOOTY KNIFE SHOCK,Footballer 'threatened by man with knife during mass brawl at cup game',https://www.thesun.co.uk/sport/21692573/youth-footballer-knife-cup-game/
70,WAR CRY,Neil Warnock's Huddersfield handed transfer BAN just days after Burnley punished,https://www.thesun.co.uk/sport/21703554/huddersfield-transfer-ban-embargo-neil-warnock/
71,TIM VICKERY,Cruzeiro legend-turned owner Ronaldo booed by fans demanding the impossible,https://www.thesun.co.uk/sport/21691778/cruzeiro-ronaldo-fans-booed-transfers/
72,TROY DEENEY,Kane to PSG makes perfect sense - he can make Messi and Mbappe even better,https://www.thesun.co.uk/sport/21674801/harry-kane-tottenham-paris-saint-germain/
73,PIERS MORGAN,I spoke to Gary Lineker and his response proved to me he won't bow to the mob,https://www.thesun.co.uk/news/21649677/gary-lineker-tweet-piers-morgan/
74,'WHAT A GOAL',Italy ace's partner dubbed 'world's most beautiful Wag' as she wears lingerie,https://www.thesun.co.uk/sport/21698719/italy-girlfriend-worlds-beautiful-wag-lingerie/
75,THANKS A LEOT,Fans convinced Prem Wag Diletta Leotta is the double of famous sex symbol,https://www.thesun.co.uk/sport/21684163/prem-wag-diletta-leotta-balcony/
76,BIG BLING,Cristiano Ronaldo's girlfriend Georgina Rodriguez flashes huge ring in selfie,https://www.thesun.co.uk/sport/21682888/cristiano-ronaldo-georgina-rodriguez-flashes-ring-selfie/
